time,x,y,z
2.441,-0.01173,0.01319,0.97552
2.450,-0.01173,0.01319,0.97552
2.460,-0.01295,0.01124,0.97820
2.472,-0.01295,0.01124,0.97820
2.495,-0.01295,0.01124,0.97820
2.498,-0.01295,0.01124,0.97820
2.504,-0.01295,0.01124,0.97820
2.511,-0.01295,0.01124,0.97820
2.521,-0.01075,0.01246,0.97478
2.531,-0.01075,0.01246,0.97478
2.541,-0.01075,0.01246,0.97478
2.555,-0.01075,0.01246,0.97478
2.561,-0.01075,0.01246,0.97478
2.570,-0.01075,0.01246,0.97478
2.590,-0.01075,0.01246,0.97478
2.594,-0.01368,0.01051,0.96867
2.613,-0.01368,0.01051,0.96867
2.616,-0.01368,0.01051,0.96867
2.620,-0.01368,0.01051,0.96867
2.634,-0.01368,0.01051,0.96867
2.641,-0.01368,0.01051,0.96867
2.651,-0.01222,0.01295,0.97209
2.661,-0.01222,0.01295,0.97209
2.673,-0.01222,0.01295,0.97209
2.689,-0.01222,0.01295,0.97209
2.691,-0.01222,0.01295,0.97209
2.711,-0.01222,0.01295,0.97209
2.715,-0.01222,0.01295,0.97209
2.721,-0.01222,0.01564,0.97332
2.735,-0.01222,0.01564,0.97332
2.740,-0.01222,0.01564,0.97332
2.750,-0.01222,0.01564,0.97332
2.760,-0.01222,0.01564,0.97332
2.772,-0.01222,0.01564,0.97332
2.805,-0.01222,0.01148,0.97625
2.810,-0.01222,0.01148,0.97625
2.811,-0.01222,0.01148,0.97625
2.812,-0.01222,0.01148,0.97625
2.820,-0.01222,0.01148,0.97625
2.831,-0.01222,0.01148,0.97625
2.840,-0.01222,0.01148,0.97625
2.850,-0.01393,0.01173,0.97600
2.860,-0.01393,0.01173,0.97600
2.870,-0.01393,0.01173,0.97600
2.884,-0.01393,0.01173,0.97600
2.890,-0.01393,0.01173,0.97600
2.904,-0.01393,0.01173,0.97600
2.911,-0.01319,0.01393,0.97552
2.923,-0.01319,0.01393,0.97552
2.935,-0.01319,0.01393,0.97552
2.940,-0.01319,0.01393,0.97552
2.953,-0.01319,0.01393,0.97552
2.961,-0.01319,0.01393,0.97552
2.977,-0.01319,0.01393,0.97552
2.982,-0.01124,0.01344,0.97380
3.009,-0.01124,0.01344,0.97380
3.021,-0.01124,0.01344,0.97380
3.022,-0.01124,0.01344,0.97380
3.023,-0.01124,0.01344,0.97380
3.030,-0.01124,0.01344,0.97380
3.039,-0.00660,0.01393,0.97356
3.050,-0.00660,0.01393,0.97356
3.061,-0.00660,0.01393,0.97356
3.070,-0.00660,0.01393,0.97356
3.089,-0.00660,0.01393,0.97356
3.090,-0.00660,0.01393,0.97356
3.100,-0.00660,0.01393,0.97356
3.110,-0.01344,0.01222,0.97307
3.121,-0.01344,0.01222,0.97307
3.134,-0.01344,0.01222,0.97307
3.140,-0.01344,0.01222,0.97307
3.150,-0.01344,0.01222,0.97307
3.162,-0.01344,0.01222,0.97307
3.173,-0.01344,0.01222,0.97307
3.184,-0.01099,0.01393,0.97894
3.191,-0.01099,0.01393,0.97894
3.207,-0.01099,0.01393,0.97894
3.210,-0.01099,0.01393,0.97894
3.224,-0.01099,0.01393,0.97894
3.234,-0.01099,0.01393,0.97894
3.240,-0.01197,0.01222,0.97503
3.251,-0.01197,0.01222,0.97503
3.261,-0.01197,0.01222,0.97503
3.270,-0.01197,0.01222,0.97503
3.296,-0.01197,0.01222,0.97503
3.303,-0.01197,0.01222,0.97503
3.307,-0.01197,0.01222,0.97503
3.311,-0.00904,0.01735,0.97674
3.322,-0.00904,0.01735,0.97674
3.335,-0.00904,0.01735,0.97674
3.341,-0.00904,0.01735,0.97674
3.350,-0.00904,0.01735,0.97674
3.361,-0.00904,0.01735,0.97674
3.373,-0.01441,0.01466,0.97478
3.393,-0.01441,0.01466,0.97478
3.395,-0.01441,0.01466,0.97478
3.410,-0.01441,0.01466,0.97478
3.416,-0.01441,0.01466,0.97478
3.427,-0.01441,0.01466,0.97478
3.433,-0.01441,0.01466,0.97478
3.446,-0.01270,0.01051,0.97698
3.452,-0.01270,0.01051,0.97698
3.463,-0.01270,0.01051,0.97698
3.472,-0.01270,0.01051,0.97698
3.500,-0.01270,0.01051,0.97698
3.504,-0.01270,0.01051,0.97698
3.508,-0.01393,0.01466,0.96794
3.512,-0.01393,0.01466,0.96794
3.536,-0.01393,0.01466,0.96794
3.542,-0.01393,0.01466,0.96794
3.547,-0.01393,0.01466,0.96794
3.553,-0.01393,0.01466,0.96794
3.567,-0.01393,0.01466,0.96794
3.570,-0.01173,0.01270,0.97698
3.582,-0.01173,0.01270,0.97698
3.590,-0.01173,0.01270,0.97698
3.600,-0.01173,0.01270,0.97698
3.612,-0.01173,0.01270,0.97698
3.620,-0.01173,0.01270,0.97698
3.629,-0.01124,0.01270,0.97307
3.640,-0.01124,0.01270,0.97307
3.649,-0.01124,0.01270,0.97307
3.662,-0.01124,0.01270,0.97307
3.670,-0.01124,0.01270,0.97307
3.689,-0.01124,0.01270,0.97307
3.691,-0.01124,0.01270,0.97307
3.700,-0.01148,0.01075,0.97771
3.710,-0.01148,0.01075,0.97771
3.720,-0.01148,0.01075,0.97771
3.741,-0.01148,0.01075,0.97771
3.744,-0.01148,0.01075,0.97771
3.750,-0.01148,0.01075,0.97771
3.761,-0.00904,0.01539,0.97625
3.770,-0.00904,0.01539,0.97625
3.790,-0.00904,0.01539,0.97625
3.792,-0.00904,0.01539,0.97625
3.808,-0.00904,0.01539,0.97625
3.813,-0.00904,0.01539,0.97625
